feature,description,cta_id,label,url,works_on,notes,display_name,aliases,why_it_matters,related_features,plans
online_booking,"Lets a customer request or schedule a job themselves from the Pro's website, Google Business Profile, or a booking link, without calling the office. Does not include the mobile app used by technicians, and does not itself notify the Pro of new leads outside this booking flow.",cta_online_booking,Online booking setup,https://pro.housecallpro.com/app/settings/online_booking/settings/available_services,broken,"Failed to load repeatedly in QA (blank page, timeouts) - may be stale. Use the row below instead.",Online booking,booking_widget;online_booking.scheduling;feature_online_booking_state,"Customers book and pay any time from the website, Google profile, or a link, and bookings land on the schedule without a phone call.",scheduling_dispatching;customer_portal,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
online_booking,,,Online Booking,https://pro.housecallpro.com/app/marketing/online_booking,web,Confirmed working replacement for the row above. PRO-facing management page - never send to a customer.,,,,,
sales_proposal,"Digital estimate builder that lets a Pro send a customer branded, itemized options (e.g. good/better/tier pricing) with photos, which the customer can view and approve online. Produces the pre-sale document only; it does not process payment and is not the invoice sent after the job is done.",cta_estimate_new,Create an estimate,https://pro.housecallpro.com/app/estimates/new,web,Untested. Estimate-detail wildcard (/app/estimates/{id}) was unreliable in QA - avoid linking a specific estimate.,Sales Proposal Tool,feature_sales_proposal_state,"Presenting good, better, best options on one estimate supports upselling and speeds the customer's decision.",flat_rate_pricing;invoicing,Core SaaS MAX;Core SaaS MAX+
sales_proposal,,cta_estimates,Your estimates,https://pro.housecallpro.com/app/customers/estimates,web,Untested.,,,,,
service_agreements,"Recurring maintenance/membership plans (e.g. quarterly HVAC tune-ups) that a Pro sells to a customer, with automatic re-scheduling and recurring billing tied to the plan. Distinct from a one-time job or a one-time invoice; only applies to customers enrolled in a recurring plan.",cta_custom_service_agreements,Service plans,https://pro.housecallpro.com/app/service_agreements,web,"In-app title is ""Service plans,"" not ""Service Agreements"" - use that label.",Service Plans,service_plans;create_a_service_plan;feature_service_agreements_state,"Recurring plans build customer loyalty and stabilize cash flow through recurring payments, with renewals managed from one dashboard.",recurring_jobs;card_on_file,Core SaaS MAX;Core SaaS MAX+
hcp_assist,"HCP Assist is a 24/7 live call-answering service: trained agents answer the Pro's calls around the clock, take customer information, and can book jobs or estimates into the Pro's calendar. It is a human answering service, not the CSR AI phone agent (csr_phone) and not a message-drafting tool.",cta_custom_hcp_assist,HCP Assist,https://pro.housecallpro.com/app/apps/hcp_assist,web,"App-marketplace detail page, not a live dashboard. Pitch: 24/7 AI answering that turns missed calls into booked jobs - distinct from two_way_texting and voip.",HCP Assist,feature_hcp_assist_state,"Every call is answered around the clock by a trained agent who can book the job, with a recap in the call log after each call.",online_booking;voip,Add-on
quickbooks,"Two-way sync of invoices, payments, and customer records between HCP and QuickBooks Online (and Desktop), so bookkeeping data doesn't have to be re-entered by hand. Only relevant to Pros who use QuickBooks as their accounting system; has no effect on Pros using a different accounting tool or none at all.",,QuickBooks Online,https://pro.housecallpro.com/app/apps/details/qbo,ios,Android universal-link version reported broken elsewhere - unverified on Android.,QuickBooks integration,quickbooks_desktop;feature_quickbooks_state,"Customers, invoices, tax rates, and price book items stay consistent in both systems, so bookkeeping needs no double entry.",invoicing;payment_processing,Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
quickbooks,,,QuickBooks Online (pro-prefix),https://pro.housecallpro.com/pro/apps/details/qbo,ios,Same destination as /app/ version.,,,,,
quickbooks,,cta_custom_quickbooks_sync,QuickBooks sync (onboarding),https://pro.housecallpro.com/app/quickbooks_online/onboarding/intro,web,"Pre-connection setup page (""Connect"" + ""Import"" steps, ""Connect to QuickBooks"" button) - not a dashboard.",,,,,
voip,"HCP's built-in business phone system: the Pro purchases or ports a business line and answers and places calls directly inside HCP web, with calls logged to the customer record. This is the calling feature, separate from two-way SMS texting, separate from the call_tracking marketing-attribution add-on, and separate from HCP Assist's human answering service.",,Calls - Voice tab,https://pro.housecallpro.com/app/inbox/categories/get_voice,web,"$99/mo unpurchased add-on (sell page, not active dashboard) on the test account. Distinct from two_way_texting (SMS) and hcp_assist (missed-call AI).",Voice,feature_voip_state,Calls arrive as browser notifications and are answered inside HCP web with the customer record and full call history at hand.,two_way_texting;hcp_assist,Add-on
